Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Reels,4287285,17,66,Private,Brand Ambassador,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,1987,video
Video,1550208,45,106,Public,Brand Ambassador,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,8220,image
Text,369541,27,72,Private,Gamer,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,8352,video
Carousel,2872553,20,79,Public,Fitness Enthusiast,Goodreads,"London, UK",Not verified,114 post per day,English,3061,text
Video,1305892,30,149,Public,Brand Ambassador,Twitter,"San Francisco, USA",Not verified,335 posts per week,English,3263,image
Video,1956819,38,136,Public,Content Creator,Instagram,"Paris, France",Not verified,336 posts per week,English,444,video
Carousel,309786,48,58,Public,Social Activist,Facebook,"New York City, USA",Not verified,337 posts per week,English,3989,video
Reels,1548810,64,50,Public,Travel Blogger,Instagram,"Los Angeles, USA",Not verified,114 post per day,English,666,image
Reels,591857,58,106,Public,Gamer,Twitter,"Barcelona, Spain",Not verified,229 posts per week,English,3385,video
Text,3727353,41,111,Public,Entrepreneur,Facebook,"Silicon Valley, USA",Verified,230 posts per week,English,3058,text
Carousel,1036881,39,90,Public,User,Instagram,Yosemite National Park,Verified,3 posts per week,English,4756,video
Video,1564108,20,118,Public,Brand Ambassador,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,5166,image
Reels,841342,50,114,Public,Brand Ambassador,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,7075,image
Video,1192296,62,49,Private,Social Activist,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,8970,text
Reels,1657347,42,144,Public,Social Activist,Instagram,"Paris, France",Not verified,3 posts per week,English,6755,video
Static Image,2513060,27,79,Public,Tech Reviewer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,4336,video
Video,545386,51,124,Private,Content Creator,Instagram,"San Francisco, USA",Not verified,115 post per day,English,5649,text
Video,947426,43,151,Public,Fitness Enthusiast,Twitter,"New York City, USA",Verified,2 posts per week,English,2954,text
Video,2183087,19,135,Public,User,Spotify,"London, UK",Not verified,4 posts per week,English,802,text
Carousel,2200079,40,73,Public,Travel Blogger,Instagram,"Paris, France",Verified,3 posts per week,English,5694,image
Static Image,1884682,41,82,Public,Gamer,Instagram,"New York City, USA",Not verified,2 posts per week,English,175,text
Carousel,1982931,24,140,Public,Fitness Enthusiast,Twitter,"Los Angeles, USA",Not verified,115 post per day,English,2602,video
Reels,20396,49,77,Public,Content Creator,YouTube,"San Francisco, USA",Verified,3 posts per week,English,9512,text
Static Image,1840009,65,134,Private,Influencer,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,6693,text
Reels,3635070,32,111,Public,Social Activist,Twitch,"San Jose, USA",Verified,3 posts per week,English,8470,video
Static Image,526127,55,92,Public,User,Instagram,"Los Angeles, USA",Not verified,115 post per week,English,9117,video
Text,1119086,55,67,Private,Influencer,Twitter,"New York City, USA",Verified,4 posts per week,English,2658,image
Carousel,4806259,65,104,Private,Social Activist,Facebook,"Seattle, USA",Not verified,2 posts per week,English,3147,text
Static Image,1320301,31,70,Public,Food Blogger,Instagram,"Rome, Italy",Not verified,2 posts per week,English,951,image
Reels,2731250,53,76,Public,Social Activist,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,6805,video
Carousel,211782,63,71,Public,Social Activist,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,2161,image
Carousel,634720,40,91,Public,Travel Blogger,Instagram,"Sydney, Australia",Verified,3 posts per week,English,354,video
Text,218499,67,101,Public,User,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,1894,text
Video,4562974,38,102,Public,Tech Reviewer,Instagram,"London, UK",Not verified,115 post per day,English,4023,image
Text,1868606,33,124,Private,Brand Ambassador,Twitter,"New York City, USA",Verified,4 posts per week,English,1878,video
Text,453311,64,94,Public,Social Activist,Facebook,"London, UK",Not verified,3 posts per week,English,9853,video
Carousel,533492,26,101,Public,Travel Blogger,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,1928,text
Reels,406082,43,60,Private,Fitness Enthusiast,Twitter,"Paris, France",Not verified,2 posts per week,English,4435,video
Static Image,2692305,35,59,Public,Influencer,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,4285,text
Reels,278532,64,80,Private,Gamer,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,1110,video
Reels,2433093,62,56,Public,Social Activist,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,6717,video
Reels,2734146,17,78,Public,Influencer,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,100,image
Static Image,1011038,50,124,Public,Gamer,Goodreads,"London, UK",Not verified,115 post per day,English,6113,text
Static Image,2063629,64,143,Private,Gamer,Twitter,"San Francisco, USA",Not verified,338 posts per week,English,4747,video
Carousel,1334010,31,114,Public,Tech Reviewer,Instagram,"Paris, France",Not verified,339 posts per week,English,5567,text
Reels,962270,59,66,Public,Content Creator,Facebook,"New York City, USA",Not verified,340 posts per week,English,3032,text
Static Image,2024717,33,107,Public,Content Creator,Instagram,"Los Angeles, USA",Not verified,115 post per day,English,50,video
Static Image,1448494,23,100,Public,Influencer,Twitter,"Barcelona, Spain",Not verified,231 posts per week,English,7862,image
Carousel,399489,28,134,Public,User,Facebook,"Silicon Valley, USA",Verified,232 posts per week,English,2816,video
Video,1710523,28,82,Public,Entrepreneur,Instagram,Yosemite National Park,Verified,3 posts per week,English,1293,image
Carousel,2869150,20,89,Private,Content Creator,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,5992,image
Reels,2439225,22,42,Private,Content Creator,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,9629,image
Video,2230029,34,112,Public,Travel Blogger,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,1463,video
Static Image,1418114,32,124,Public,Fitness Enthusiast,Instagram,"Paris, France",Not verified,3 posts per week,English,9720,image
Reels,1419056,49,116,Public,User,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,8423,image
Static Image,2393212,40,146,Public,Tech Reviewer,Instagram,"San Francisco, USA",Not verified,116 post per day,English,2652,video
Static Image,3508689,54,114,Public,Content Creator,Twitter,"New York City, USA",Verified,2 posts per week,English,2167,image
Video,3264233,31,50,Public,Social Activist,Spotify,"London, UK",Not verified,4 posts per week,English,1245,text
Video,739439,60,132,Public,Entrepreneur,Instagram,"Paris, France",Verified,3 posts per week,English,2831,image
Static Image,576875,17,141,Public,Fitness Enthusiast,Instagram,"New York City, USA",Not verified,2 posts per week,English,5663,video
Reels,1083002,32,147,Public,Travel Blogger,Twitter,"Los Angeles, USA",Not verified,116 post per day,English,4750,video
Carousel,2264512,23,129,Public,Tech Reviewer,YouTube,"San Francisco, USA",Verified,3 posts per week,English,3936,text
Reels,553701,45,78,Private,Gamer,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,9523,video
Reels,1737019,26,87,Private,Tech Reviewer,Twitch,"San Jose, USA",Verified,3 posts per week,English,9326,video
Static Image,357569,35,141,Private,Social Activist,Instagram,"Los Angeles, USA",Not verified,116 post per week,English,4527,image
Static Image,1783654,33,76,Public,Brand Ambassador,Twitter,"New York City, USA",Verified,4 posts per week,English,3076,video
Reels,616349,60,105,Public,Entrepreneur,Facebook,"Seattle, USA",Not verified,2 posts per week,English,2476,text
Carousel,237774,40,150,Public,Food Blogger,Instagram,"Rome, Italy",Not verified,2 posts per week,English,1458,video
Reels,112586,21,75,Public,Entrepreneur,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,8538,image
Reels,865237,70,75,Public,Gamer,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,3449,image
Video,1360181,25,128,Private,Fitness Enthusiast,Instagram,"Sydney, Australia",Verified,3 posts per week,English,7125,video
Carousel,2402363,75,69,Public,Brand Ambassador,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,3208,video
Static Image,1854040,66,151,Private,User,Instagram,"London, UK",Not verified,116 post per day,English,838,text
Text,346632,36,56,Private,Travel Blogger,Twitter,"New York City, USA",Verified,4 posts per week,English,8477,video
Carousel,114102,31,66,Public,Social Activist,Facebook,"London, UK",Not verified,3 posts per week,English,6965,video
Reels,2045162,31,105,Private,Entrepreneur,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,2099,video
Carousel,671190,59,124,Private,Entrepreneur,Twitter,"Paris, France",Not verified,2 posts per week,English,2552,image
Static Image,303315,41,58,Public,Content Creator,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,3298,text
Static Image,2274148,48,129,Private,Tech Reviewer,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,4504,text
Reels,993206,46,93,Public,User,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,6217,video
Static Image,311116,63,48,Private,Content Creator,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,1859,text
Video,2576099,57,143,Public,Fitness Enthusiast,Goodreads,"London, UK",Not verified,116 post per day,English,4928,text
Carousel,1589212,44,123,Public,Entrepreneur,Twitter,"San Francisco, USA",Not verified,341 posts per week,English,2950,text
Carousel,481490,48,77,Private,Entrepreneur,Instagram,"Paris, France",Not verified,342 posts per week,English,6659,video
Video,3519078,27,53,Public,Fitness Enthusiast,Facebook,"New York City, USA",Not verified,343 posts per week,English,6095,video
Static Image,1367075,39,118,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,116 post per day,English,5821,image
Video,1403005,46,140,Public,Travel Blogger,Twitter,"Barcelona, Spain",Not verified,233 posts per week,English,9548,text
Static Image,57438,36,128,Public,Food Blogger,Facebook,"Silicon Valley, USA",Verified,234 posts per week,English,4297,image
Video,2643369,50,70,Private,Gamer,Instagram,Yosemite National Park,Verified,3 posts per week,English,7305,image
Reels,120735,52,121,Public,Tech Reviewer,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,5446,image
Video,1654361,69,61,Public,Tech Reviewer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,381,image
Text,1720261,26,65,Public,Social Activist,Twitter,"Los Angeles, USA",Verified,4 posts per week,English,7661,text
Static Image,572382,64,104,Public,Social Activist,Instagram,"Paris, France",Not verified,3 posts per week,English,7741,image
Carousel,1784467,36,128,Public,Travel Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,4989,video
Reels,2189521,26,63,Private,Entrepreneur,Instagram,"San Francisco, USA",Not verified,117 post per day,English,4196,video
Carousel,851150,23,43,Public,Influencer,Twitter,"New York City, USA",Verified,2 posts per week,English,6981,video
Carousel,2139961,19,109,Private,Entrepreneur,Spotify,"London, UK",Not verified,4 posts per week,English,4966,text
Reels,2296774,57,114,Public,Influencer,Instagram,"Paris, France",Verified,3 posts per week,English,5179,text
Static Image,1996245,41,139,Public,Content Creator,Instagram,"New York City, USA",Not verified,2 posts per week,English,5518,image
Static Image,624657,60,117,Public,User,Twitter,"Los Angeles, USA",Not verified,117 post per day,English,7394,video
Reels,1627182,43,109,Private,Tech Reviewer,YouTube,"San Francisco, USA",Verified,3 posts per week,English,829,text
Static Image,2493282,33,149,Public,Content Creator,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,8771,video
Carousel,126618,21,121,Private,Food Blogger,Twitch,"San Jose, USA",Verified,3 posts per week,English,896,video
Carousel,2951562,53,131,Public,Food Blogger,Instagram,"Los Angeles, USA",Not verified,117 post per week,English,6211,text
Carousel,3510687,28,121,Private,User,Twitter,"New York City, USA",Verified,4 posts per week,English,4181,video
Static Image,1396028,22,101,Public,Social Activist,Facebook,"Seattle, USA",Not verified,2 posts per week,English,6176,image
Carousel,2461143,50,66,Public,Content Creator,Instagram,"Rome, Italy",Not verified,2 posts per week,English,8183,video
Reels,532814,42,146,Public,Entrepreneur,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,8259,video
Reels,2485917,60,133,Private,Travel Blogger,Goodreads,"Los Angeles, USA",Not verified,4 posts per week,English,5178,image
Video,3676085,29,95,Public,Travel Blogger,Instagram,"Sydney, Australia",Verified,3 posts per week,English,8559,video
Carousel,1326659,50,135,Public,Social Activist,Spotify,"Silicon Valley, USA",Verified,2 posts per week,English,293,video
Static Image,2014475,61,124,Public,Food Blogger,Instagram,"London, UK",Not verified,117 post per day,English,6586,text
Static Image,1161862,52,140,Private,Gamer,Twitter,"New York City, USA",Verified,4 posts per week,English,4229,text
Video,1044923,32,117,Public,Entrepreneur,Facebook,"London, UK",Not verified,3 posts per week,English,7885,text
Text,2212176,45,68,Private,User,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,1693,video
Carousel,3364823,40,75,Private,Food Blogger,Twitter,"Paris, France",Not verified,2 posts per week,English,6562,image
Carousel,2957205,52,98,Public,Social Activist,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,3069,image
Video,2008280,67,119,Public,Fitness Enthusiast,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,8646,text
Reels,2868840,52,130,Public,Social Activist,Twitch,"Los Angeles, USA",Not verified,3 posts per week,English,5175,image
Static Image,4188308,58,54,Public,Travel Blogger,YouTube,"Sydney, Australia",Not verified,2 posts per week,English,8219,image
Static Image,177702,36,93,Public,User,Goodreads,"London, UK",Not verified,117 post per day,English,8959,text
Static Image,4001689,50,135,Private,Food Blogger,Twitter,"San Francisco, USA",Not verified,344 posts per week,English,4716,image
Text,3675212,46,88,Public,Gamer,Instagram,"Paris, France",Not verified,345 posts per week,English,1577,image
Text,1796978,44,147,Private,Tech Reviewer,Facebook,"New York City, USA",Not verified,346 posts per week,English,8910,text
Video,3444524,22,97,Public,Social Activist,Instagram,"Los Angeles, USA",Not verified,117 post per day,English,3164,video
